lime_tha,emmean,SE,df,lower.CL,upper.CL,admin2_gadm,crop
2.5,0.40305345452211194,0.07654740709401157,7.904979559792093,0.2261648044854211,0.5799421045588028,Geita,Beans
3,0.46335248979658133,0.07749457138932236,8.3271279019263,0.28586431673428775,0.640840662858875,Geita,Beans
3.5,0.5131908225303513,0.07808519461571098,8.598498117600835,0.3352844977349709,0.6910971473257317,Geita,Beans
4,0.552568452723421,0.07824026848909095,8.67079814643099,0.3745470169988158,0.7305898884480262,Geita,Beans
4.5,0.5814853803757914,0.07797332046113824,8.546611040102771,0.40366074752712555,0.7593100132244573,Geita,Beans
5,0.5999416054874619,0.07739015523116362,8.279806469936023,0.42252391987243476,0.777359291102489,Geita,Beans
5.5,0.6079371280584328,0.07669491660183518,7.969679723178048,0.4309611459849556,0.78491311013191,Geita,Beans
6,0.6054719480887037,0.07619827087984302,7.753361860527045,0.42878071601444395,0.7821631801629636,Geita,Beans
6.5,0.5925460655782747,0.0763183297862908,7.8052590096386325,0.41578843918042907,0.7693036919761204,Geita,Beans
7,0.5691594805271466,0.07755922157879454,8.356525484005669,0.3916271374775966,0.7466918235766966,Geita,Beans
