lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi,total_benefit,total_cost,bcr,bcr_lo,bcr_hi,roi
1.5,0.3423,0.2892,0.3954,Soybean,570.9599999999999,111.38584474885845,28.360840876712302,-1.957135123287685,58.67881687671229,270.64468385888557,202.74192240065184,338.54744531711924,437.72345098217323,167.07876712328766,2.6198628258920325,2.213451151761542,3.026274500022523,161.98628258920326
2,0.4303,0.3651,0.4956,Soybean,570.9599999999999,111.38584474885845,22.91239850228308,-14.314193497716929,60.196086502283066,327.4836448803992,244.10774945522337,410.9874174457976,550.2553343781161,222.7716894977169,2.4700415731405383,2.095775455155962,2.8448817189134337,147.0041573140538
2.5,0.5053,0.4306,0.58,Soybean,570.9599999999999,111.38584474885845,10.041476127853798,-32.60923587214617,52.6921881278538,367.6985776729667,272.17435392663793,463.2228014192954,646.1631895451128,278.4646118721461,2.3204499315043714,1.977410925204398,2.6634889378043445,132.04499315043714
3,0.5673,0.4858,0.6489,Soybean,570.9599999999999,111.38584474885845,-10.251926246575351,-56.78516624657533,36.33840975342463,391.28948223658824,287.0696129551185,495.6372286582807,725.4470164831636,334.1575342465753,2.1709730954258695,1.8590846637720562,2.483244212271896,117.09730954258693
3.5,0.6163,0.5305,0.7021,Soybean,570.9599999999999,111.38584474885845,-37.96780862100468,-86.95617662100466,11.020559378995358,398.2563585712634,288.53777226021907,507.9749448823078,788.106815192268,389.8504566210046,2.0215618625231744,1.7401242383069022,2.3029994867394463,102.15618625231743
4,0.6522,0.5646,0.7398,Soybean,570.9599999999999,111.38584474885845,-73.16326699543384,-123.17936299543383,-23.14717099543384,388.4713295367701,276.45095470171776,500.4917043718223,834.0147085322038,445.5433789954338,1.8719046177112002,1.620480446427083,2.1233287889953174,87.19046177112001
4.5,0.6751,0.588,0.7623,Soybean,570.9599999999999,111.38584474885845,-115.78120536986302,-165.51182136986307,-65.99349336986307,362.06227227333056,250.68128313939155,473.57113854749207,863.2985736431935,501.236301369863,1.7223384884211814,1.5001259534760103,1.9448061468278277,72.23384884211815
5,0.685,0.6002,0.7698,Soybean,570.9599999999999,111.38584474885845,-165.82162374429225,-214.23903174429233,-117.40421574429227,319.029186780945,210.58937187212712,427.46900168976254,875.9584105252372,556.9292237442922,1.5728361399965314,1.3781259141984203,1.767546365794642,57.28361399965315
5.5,0.6819,0.601,0.7627,Soybean,570.9599999999999,111.38584474885845,-223.2845221187216,-269.4751861187216,-177.15095411872153,259.37207305961294,155.91946661947918,362.6968023595243,871.9942191783344,612.6221461187215,1.4233801776557855,1.2545116392009492,1.5920399787330517,42.33801776557856
6,0.6657,0.5894,0.742,Soybean,570.9599999999999,111.38584474885845,-288.22699649315075,-331.79124449315066,-244.66274849315073,182.96305396911248,85.39279597922132,280.533311959004,851.2781224622631,668.3150684931506,1.2737676622818621,1.127773261452501,1.4197620631112242,27.37676622818622
6.5,0.6365,0.5642,0.7088,Soybean,570.9599999999999,111.38584474885845,-360.5919508675799,-401.8723588675799,-319.31154286758,89.93000664966598,-2.5251657313187934,182.38517903065076,813.9379975172459,724.0079908675799,1.1242113454326694,0.9965122405233499,1.2519104503419891,12.42113454326695
7,0.5943,0.5235,0.6651,Soybean,570.9599999999999,111.38584474885845,-440.3793852420091,-480.8033532420092,-399.9554172420092,-19.727068898726657,-110.26408417637174,70.80994637891808,759.9738443432825,779.7009132420092,0.9746991845671936,0.8585815633870533,1.0908168057473335,-2.5300815432806383
0.5,0.0835,0.045,0.1219,Wheat,447.44000000000005,111.38584474885845,-18.331682374429217,-35.55812237442922,-1.1499863744292185,27.98454235817102,-10.5972826981776,66.46615488190571,83.67746473260024,55.69292237442922,1.5024793306773898,0.8097193997662578,2.193439885144596,50.24793306773898
