crop,lime_tha,r_p,prob_profit,r_p_obs
Soybean,1,3.25,0.6658048780487805,5.1259655236025985
Soybean,1,3.5,0.7258292682926829,5.1259655236025985
Soybean,1,3.75,0.7499268292682927,5.1259655236025985
Soybean,1,4,0.7750975609756098,5.1259655236025985
Soybean,1,4.25,0.8041951219512196,5.1259655236025985
Soybean,1,4.5,0.8190487804878048,5.1259655236025985
Soybean,1,4.75,0.8361463414634146,5.1259655236025985
Soybean,1,5,0.847780487804878,5.1259655236025985
Soybean,1,5.25,0.8610975609756097,5.1259655236025985
Soybean,1,5.5,0.8685121951219512,5.1259655236025985
Soybean,1,5.75,0.8765121951219512,5.1259655236025985
Soybean,1,6,0.8862682926829268,5.1259655236025985
Soybean,1,6.25,0.889609756097561,5.1259655236025985
Soybean,1,6.5,0.8966829268292683,5.1259655236025985
Soybean,1,6.75,0.9022439024390244,5.1259655236025985
Soybean,1,7,0.9062926829268293,5.1259655236025985
Soybean,1,7.25,0.9101219512195122,5.1259655236025985
Soybean,1,7.5,0.9127073170731708,5.1259655236025985
Soybean,1,7.75,0.9148048780487805,5.1259655236025985
Soybean,1,8,0.9172926829268293,5.1259655236025985
Soybean,1,8.25,0.9192926829268293,5.1259655236025985
Soybean,1,8.5,0.9208048780487805,5.1259655236025985
Soybean,1,8.75,0.9220243902439025,5.1259655236025985
Soybean,1,9,0.9231219512195122,5.1259655236025985
Soybean,1,9.25,0.9239756097560976,5.1259655236025985
Soybean,1,9.5,0.9248048780487805,5.1259655236025985
Soybean,1,9.75,0.9260243902439025,5.1259655236025985
Soybean,1,10,0.9265853658536586,5.1259655236025985
Soybean,2.5,0.5,0,5.1259655236025985
Soybean,2.5,0.75,0,5.1259655236025985
Soybean,2.5,1,0,5.1259655236025985
Soybean,2.5,1.25,0,5.1259655236025985
Soybean,2.5,1.5,4.6341463414634144e-4,5.1259655236025985
Soybean,2.5,1.75,0.002682926829268293,5.1259655236025985
Soybean,2.5,2,0.01148780487804878,5.1259655236025985
Soybean,2.5,2.25,0.023365853658536585,5.1259655236025985
Soybean,2.5,2.5,0.03970731707317073,5.1259655236025985
Soybean,2.5,2.75,0.060585365853658535,5.1259655236025985
Soybean,2.5,3,0.08636585365853658,5.1259655236025985
Soybean,2.5,3.25,0.12004878048780487,5.1259655236025985
Soybean,2.5,3.5,0.16014634146341464,5.1259655236025985
Soybean,2.5,3.75,0.21458536585365853,5.1259655236025985
Soybean,2.5,4,0.25726829268292684,5.1259655236025985
Soybean,2.5,4.25,0.29692682926829267,5.1259655236025985
Soybean,2.5,4.5,0.3541951219512195,5.1259655236025985
Soybean,2.5,4.75,0.40158536585365856,5.1259655236025985
Soybean,2.5,5,0.450609756097561,5.1259655236025985
Soybean,2.5,5.25,0.48153658536585364,5.1259655236025985
Soybean,2.5,5.5,0.5469512195121952,5.1259655236025985
Soybean,2.5,5.75,0.5797073170731707,5.1259655236025985
Soybean,2.5,6,0.611,5.1259655236025985
Soybean,2.5,6.25,0.6453170731707317,5.1259655236025985
Soybean,2.5,6.5,0.6673414634146342,5.1259655236025985
Soybean,2.5,6.75,0.7081219512195122,5.1259655236025985
Soybean,2.5,7,0.7277560975609756,5.1259655236025985
Soybean,2.5,7.25,0.7588292682926829,5.1259655236025985
Soybean,2.5,7.5,0.7733170731707317,5.1259655236025985
Soybean,2.5,7.75,0.7973902439024391,5.1259655236025985
Soybean,2.5,8,0.8173170731707317,5.1259655236025985
Soybean,2.5,8.25,0.8254878048780487,5.1259655236025985
Soybean,2.5,8.5,0.8412195121951219,5.1259655236025985
Soybean,2.5,8.75,0.8529756097560975,5.1259655236025985
Soybean,2.5,9,0.8589268292682927,5.1259655236025985
Soybean,2.5,9.25,0.8688780487804878,5.1259655236025985
Soybean,2.5,9.5,0.8787317073170732,5.1259655236025985
Soybean,2.5,9.75,0.8864634146341464,5.1259655236025985
Soybean,2.5,10,0.8943658536585366,5.1259655236025985
Soybean,7,0.5,0,5.1259655236025985
Soybean,7,0.75,0,5.1259655236025985
Soybean,7,1,0,5.1259655236025985
Soybean,7,1.25,0,5.1259655236025985
Soybean,7,1.5,0,5.1259655236025985
