crop,tau,tau_lab,lime_tha,yield_resp,profit_yr1,npv
Beans,0.2,Q20,5.9,0.222919060416496,-556.5651827165941,-431.83871106502335
Beans,0.2,Q20,6,0.22436847545273758,-567.0495946292504,-441.51215408569067
Beans,0.2,Q20,6.1000000000000005,0.2257402613515338,-577.5690433329407,-451.26406853412914
Beans,0.2,Q20,6.2,0.2270344181128847,-588.1235288276648,-461.09445441033824
Beans,0.2,Q20,6.300000000000001,0.22825094573679025,-598.713051113423,-471.0033117143182
Beans,0.2,Q20,6.4,0.22938984422325046,-609.3376101902152,-480.99064044606905
Beans,0.2,Q20,6.5,0.23045111357226536,-619.9972060580412,-491.0564406055905
Beans,0.2,Q20,6.6000000000000005,0.2314347537838349,-630.6918387169013,-501.200712192883
Beans,0.2,Q20,6.7,0.23234076485795913,-641.4215081667953,-511.4234552079463
Beans,0.2,Q20,6.800000000000001,0.23316914679463802,-652.1862144077234,-521.7246696507804
Beans,0.2,Q20,6.9,0.23391989959387155,-662.9859574396853,-532.1043555213852
Beans,0.2,Q20,7,0.23459302325565975,-673.8207372626812,-542.562512819761
Beans,0.5,Q50,0.1,0.016634920634849705,-3.6306530804361303,5.67682808834407
Beans,0.5,Q50,0.2,0.032994708994569126,-7.3854831432228405,11.075538666101195
Beans,0.5,Q50,0.30000000000000004,0.04907936507915827,-11.264490188360128,16.196131733271386
Beans,0.5,Q50,0.4,0.06488888888861713,-15.267674215847997,21.038607289854625
Beans,0.5,Q50,0.5,0.0804232804229457,-19.395035225686435,25.602965335850932
Beans,0.5,Q50,0.6000000000000001,0.095682539682144,-23.64657321787547,29.889205871260273
Beans,0.5,Q50,0.7000000000000001,0.11066666666621201,-28.022288192415076,33.8973288960827
Beans,0.5,Q50,0.8,0.12537566137514974,-32.522180149305264,37.627334410318156
Beans,0.5,Q50,0.9,0.1398095238089572,-37.146249088546014,41.07922241396669
Beans,0.5,Q50,1,0.15396825396763433,-41.894495010137376,44.25299290702823
Beans,0.5,Q50,1.1,0.16785185185118126,-46.766917914079286,47.148645889502916
Beans,0.5,Q50,1.2000000000000002,0.18146031745959784,-51.7635178003718,49.76618136139061
Beans,0.5,Q50,1.3,0.19479365079288413,-56.884294669014906,52.10559932269129
Beans,0.5,Q50,1.4000000000000001,0.2078518518510402,-62.12924852000856,54.166899773405135
Beans,0.5,Q50,1.5,0.22063492063406592,-67.49837935335277,55.950082713532026
Beans,0.5,Q50,1.6,0.23314285714196137,-72.99168716904764,57.45514814307188
Beans,0.5,Q50,1.7000000000000002,0.2453756613747266,-78.60917196709302,58.6820960620249
Beans,0.5,Q50,1.8,0.25733333333236147,-84.35083374748899,59.630926470390904
Beans,0.5,Q50,1.9000000000000001,0.26901587301486607,-90.2166725102356,60.30163936816993
Beans,0.5,Q50,2,0.2804232804222404,-96.20668825533271,60.694234755362146
Beans,0.5,Q50,2.1,0.2915555555544845,-102.32088098278044,60.808712631967296
Beans,0.5,Q50,2.2,0.30241269841159824,-108.55925069257876,60.64507299798555
Beans,0.5,Q50,2.3000000000000003,0.3129947089935818,-114.9217973847276,60.20331585341694
Beans,0.5,Q50,2.4000000000000004,0.32330158730043496,-121.4085210592271,59.48344119826123
Beans,0.5,Q50,2.5,0.33333333333215787,-128.01942171607712,58.48544903251866
Beans,0.5,Q50,2.6,0.3430899470887505,-134.75449935527777,57.209339356189105
Beans,0.5,Q50,2.7,0.3525714285702129,-141.61375397682892,55.65511216927274
Beans,0.5,Q50,2.8000000000000003,0.3617777777765449,-148.59718558073078,53.82276747176917
Beans,0.5,Q50,2.9000000000000004,0.37070899470774676,-155.70479416698308,51.7123052636789
Beans,0.5,Q50,3,0.3793650793638182,-162.936579735586,49.323725545001594
Beans,0.5,Q50,3.1,0.3877460317447594,-170.29254228653957,46.65702831573731
Beans,0.5,Q50,3.2,0.3958518518505704,-177.77268181984368,43.712213575886096
Beans,0.5,Q50,3.3000000000000003,0.40368253968125106,-185.37699833549834,40.48928132544796
Beans,0.5,Q50,3.4000000000000004,0.41123809523680144,-193.10549183350363,36.98823156442285
Beans,0.5,Q50,3.5,0.41851851851722155,-200.95816231385942,33.20906429281092
Beans,0.5,Q50,3.6,0.42552380952251134,-208.93500977656583,29.15177951061196
Beans,0.5,Q50,3.7,0.4322539682526709,-217.03603422162286,24.816377217826016
Beans,0.5,Q50,3.8000000000000003,0.4387089947077002,-225.26123564903043,20.202857414453206
Beans,0.5,Q50,3.9000000000000004,0.44488888888759914,-233.61061405878857,15.311220100493415
Beans,0.5,Q50,4,0.45079365079236783,-242.08416945089726,10.141465275946757
Beans,0.5,Q50,4.1000000000000005,0.45642328042200625,-250.68190182535668,4.693592940812948
Beans,0.5,Q50,4.2,0.4617777777765143,-259.4038111821665,-1.0323969049076709
Beans,0.5,Q50,4.3,0.46685714285589214,-268.24989752132694,-7.036504261215157
Beans,0.5,Q50,4.4,0.4716613756601397,-277.2201608428381,-13.318729128109737
Beans,0.5,Q50,4.5,0.4761904761892569,-286.31460114669966,-19.879071505591185
Beans,0.5,Q50,4.6000000000000005,0.48044444444324397,-295.5332184329119,-26.717531393659613
Beans,0.5,Q50,4.7,0.48442328042210064,-304.87601270147474,-33.83410879231502
Beans,0.5,Q50,4.800000000000001,0.4881269841258271,-314.34298395238807,-41.22880370155724
Beans,0.5,Q50,4.9,0.49155555555442315,-323.93413218565206,-48.90161612138655
Beans,0.5,Q50,5,0.49470899470788904,-333.64945740126655,-56.852546051802676
Beans,0.5,Q50,5.1000000000000005,0.49758730158622466,-343.4889595992317,-65.08159349280578
Beans,0.5,Q50,5.2,0.5001904761894299,-353.45263877954744,-73.58875844439592
Beans,0.5,Q50,5.300000000000001,0.502518518517505,-363.54049494221374,-82.37404090657293
Beans,0.5,Q50,5.4,0.5045714285704496,-373.75252808723053,-91.43744087933692
Beans,0.5,Q50,5.5,0.5063492063482641,-384.088738214598,-100.77895836268783
Beans,0.5,Q50,5.6000000000000005,0.5078518518509483,-394.549125324316,-110.39859335662561
Beans,0.5,Q50,5.7,0.509079365078502,-405.1336894163845,-120.29634586115048
Beans,0.5,Q50,5.800000000000001,0.5100317460309257,-415.84243049080374,-130.4722158762621
Beans,0.5,Q50,5.9,0.5107089947082191,-426.6753485475735,-140.92620340196083
Beans,0.5,Q50,6,0.511111111110382,-437.63244358669374,-151.65830843824642
Beans,0.5,Q50,6.1000000000000005,0.5112380952374148,-448.71371560816476,-162.668530985119
Beans,0.5,Q50,6.2,0.5110899470893173,-459.91916461198616,-173.95687104257843
Beans,0.5,Q50,6.300000000000001,0.5106666666660894,-471.24879059815834,-185.52332861062507
Beans,0.5,Q50,6.4,0.5099682539677314,-482.702593566681,-197.36790368925836
Beans,0.5,Q50,6.5,0.508994708994243,-494.2805735175541,-209.49059627847862
Beans,0.5,Q50,6.6000000000000005,0.5077460317456243,-505.982730450778,-221.89140637828598
Beans,0.5,Q50,6.7,0.5062222222218754,-517.8090643663523,-234.57033398868015
