lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,lime_price,price_ratio_obs,r_p,profit,profit_lo,profit_hi
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,2.25,-57.553065981735166,-67.92865742009133,-47.177474543379006
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,2.5,-51.57164611872147,-63.10008105022831,-40.04321118721462
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,2.75,-45.59022625570776,-58.2715046803653,-32.90894783105023
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,3,-39.60880639269406,-53.44292831050228,-25.77468447488585
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,3.25,-33.62738652968037,-48.61435194063927,-18.640421118721473
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,3.5,-27.645966666666663,-43.78577557077625,-11.506157762557084
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,3.75,-21.664546803652968,-38.957199200913244,-4.371894406392695
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,4,-15.683126940639273,-34.12862283105023,2.762368949771682
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,4.25,-9.701707077625578,-29.300046461187215,9.896632305936059
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,4.5,-3.720287214611883,-24.4714700913242,17.030895662100434
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,4.75,2.2611326484018246,-19.64289372146119,24.165159018264838
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,5,8.242552511415507,-14.814317351598174,31.299422374429213
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,5.25,14.223972374429215,-9.98574098173516,38.43368573059359
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,5.5,20.205392237442922,-5.157164611872147,45.56794908675799
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,5.75,26.186812100456606,-0.32858824200913334,52.70221244292237
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,6,32.16823196347031,4.4999881278538805,59.83647579908675
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,6.25,38.14965182648402,9.328564497716894,66.97073915525112
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,6.5,44.1310716894977,14.157140867579907,74.1050025114155
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,6.75,50.11249155251141,18.98571723744292,81.2392658675799
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,7,56.09391141552512,23.814293607305935,88.37352922374428
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,7.25,62.075331278538805,28.64286997716895,95.50779257990865
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,7.5,68.05675114155251,33.471446347031964,102.64205593607305
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,7.75,74.0381710045662,38.30002271689497,109.77631929223743
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,8,80.0195908675799,43.12859908675799,116.91058264840181
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,8.25,86.0010107305936,47.957175456621,124.04484600456618
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,8.5,91.98243059360729,52.78575182648402,131.17910936073056
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,8.75,97.963850456621,57.61432819634703,138.31337271689495
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,9,103.94527031963469,62.442904566210046,145.44763607305933
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,9.25,109.92669018264839,67.27148093607306,152.58189942922374
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,9.5,115.9081100456621,72.10005730593608,159.71616278538812
1,0.2148,0.1734,0.2562,Beans,111.38584474885845,4.052001145095452,9.75,121.8895299086758,76.92863367579909,166.8504261415525
