crop,tau,tau_lab,lime_tha,yield_resp
Maize,0.8,Q80,2.8000000000000003,2.724364941962889
Maize,0.8,Q80,2.9000000000000004,2.7814790552995565
Maize,0.8,Q80,3,2.8358218145265286
Maize,0.8,Q80,3.1,2.8873932196438057
Maize,0.8,Q80,3.2,2.9361932706513882
Maize,0.8,Q80,3.3000000000000003,2.982221967549276
Maize,0.8,Q80,3.4000000000000004,3.025479310337468
Maize,0.8,Q80,3.5,3.0659652990159647
Maize,0.8,Q80,3.6,3.103679933584767
Maize,0.8,Q80,3.7,3.1386232140438732
Maize,0.8,Q80,3.8000000000000003,3.1707951403932855
Maize,0.8,Q80,3.9000000000000004,3.2001957126330023
Maize,0.8,Q80,4,3.2268249307630237
Maize,0.8,Q80,4.1000000000000005,3.2506827947833505
Maize,0.8,Q80,4.2,3.2717693046939824
Maize,0.8,Q80,4.3,3.2900844604949184
Maize,0.8,Q80,4.4,3.3056282621861603
Maize,0.8,Q80,4.5,3.3184007097677064
Maize,0.8,Q80,4.6000000000000005,3.3284018032395575
Maize,0.8,Q80,4.7,3.335631542601713
Maize,0.8,Q80,4.800000000000001,3.340089927854175
Maize,0.8,Q80,4.9,3.341776958996941
Maize,0.8,Q80,5,3.340692636030012
Maize,0.8,Q80,5.1000000000000005,3.336836958953388
Maize,0.8,Q80,5.2,3.330209927767069
Maize,0.8,Q80,5.300000000000001,3.3208115424710543
Maize,0.8,Q80,5.4,3.3086418030653455
Maize,0.8,Q80,5.5,3.2937007095499413
Maize,0.8,Q80,5.6000000000000005,3.2759882619248413
Maize,0.8,Q80,5.7,3.2555044601900467
Maize,0.8,Q80,5.800000000000001,3.2322493043455576
Maize,0.8,Q80,5.9,3.206222794391373
Maize,0.8,Q80,6,3.1774249303274926
Maize,0.8,Q80,6.1000000000000005,3.145855712153918
Maize,0.8,Q80,6.2,3.111515139870648
Maize,0.8,Q80,6.300000000000001,3.0744032134776833
Maize,0.8,Q80,6.4,3.0345199329750234
Maize,0.8,Q80,6.5,2.9918652983626686
Maize,0.8,Q80,6.6000000000000005,2.9464393096406183
Maize,0.8,Q80,6.7,2.898241966808874
Maize,0.8,Q80,6.800000000000001,2.8472732698674315
Maize,0.8,Q80,6.9,2.793533218816298
Maize,0.8,Q80,7,2.737021813655468
Beans,0.2,Q20,0,0
Beans,0.2,Q20,0.1,0.006029534145516356
Beans,0.2,Q20,0.2,0.011981439153587377
Beans,0.2,Q20,0.30000000000000004,0.017855715024213063
Beans,0.2,Q20,0.4,0.023652361757393412
Beans,0.2,Q20,0.5,0.029371379353128425
Beans,0.2,Q20,0.6000000000000001,0.035012767811418107
Beans,0.2,Q20,0.7000000000000001,0.04057652713226245
Beans,0.2,Q20,0.8,0.046062657315661455
Beans,0.2,Q20,0.9,0.05147115836161513
Beans,0.2,Q20,1,0.05680203027012347
Beans,0.2,Q20,1.1,0.06205527304118647
Beans,0.2,Q20,1.2000000000000002,0.06723088667480415
Beans,0.2,Q20,1.3,0.07232887117097647
Beans,0.2,Q20,1.4000000000000001,0.07734922652970347
Beans,0.2,Q20,1.5,0.08229195275098512
Beans,0.2,Q20,1.6,0.08715704983482146
Beans,0.2,Q20,1.7000000000000002,0.09194451778121245
Beans,0.2,Q20,1.8,0.0966543565901581
Beans,0.2,Q20,1.9000000000000001,0.10128656626165841
Beans,0.2,Q20,2,0.10584114679571338
Beans,0.2,Q20,2.1,0.11031809819232304
Beans,0.2,Q20,2.2,0.11471742045148735
Beans,0.2,Q20,2.3000000000000003,0.11903911357320633
Beans,0.2,Q20,2.4000000000000004,0.12328317755747997
Beans,0.2,Q20,2.5,0.12744961240430824
Beans,0.2,Q20,2.6,0.1315384181136912
Beans,0.2,Q20,2.7,0.13554959468562885
Beans,0.2,Q20,2.8000000000000003,0.13948314212012117
Beans,0.2,Q20,2.9000000000000004,0.14333906041716812
Beans,0.2,Q20,3,0.14711734957676975
Beans,0.2,Q20,3.1,0.15081800959892605
Beans,0.2,Q20,3.2,0.154441040483637
Beans,0.2,Q20,3.3000000000000003,0.15798644223090264
Beans,0.2,Q20,3.4000000000000004,0.16145421484072292
Beans,0.2,Q20,3.5,0.16484435831309785
Beans,0.2,Q20,3.6,0.16815687264802748
Beans,0.2,Q20,3.7,0.17139175784551175
Beans,0.2,Q20,3.8000000000000003,0.17454901390555072
Beans,0.2,Q20,3.9000000000000004,0.1776286408281443
Beans,0.2,Q20,4,0.1806306386132926
Beans,0.2,Q20,4.1000000000000005,0.18355500726099552
Beans,0.2,Q20,4.2,0.1864017467712531
Beans,0.2,Q20,4.3,0.18917085714406534
Beans,0.2,Q20,4.4,0.1918623383794323
Beans,0.2,Q20,4.5,0.1944761904773539
Beans,0.2,Q20,4.6000000000000005,0.19701241343783016
Beans,0.2,Q20,4.7,0.19947100726086106
Beans,0.2,Q20,4.800000000000001,0.2018519719464467
Beans,0.2,Q20,4.9,0.2041553074945869
Beans,0.2,Q20,5,0.20638101390528182
Beans,0.2,Q20,5.1000000000000005,0.20852909117853144
Beans,0.2,Q20,5.2,0.21059953931433567
Beans,0.2,Q20,5.300000000000001,0.2125923583126946
Beans,0.2,Q20,5.4,0.21450754817360818
Beans,0.2,Q20,5.5,0.2163451088970764
Beans,0.2,Q20,5.6000000000000005,0.2181050404830993
Beans,0.2,Q20,5.7,0.21978734293167687
Beans,0.2,Q20,5.800000000000001,0.22139201624280913
Beans,0.2,Q20,5.9,0.222919060416496
Beans,0.2,Q20,6,0.22436847545273758
Beans,0.2,Q20,6.1000000000000005,0.2257402613515338
Beans,0.2,Q20,6.2,0.2270344181128847
Beans,0.2,Q20,6.300000000000001,0.22825094573679025
Beans,0.2,Q20,6.4,0.22938984422325046
Beans,0.2,Q20,6.5,0.23045111357226536
Beans,0.2,Q20,6.6000000000000005,0.2314347537838349
Beans,0.2,Q20,6.7,0.23234076485795913
